id,NAME,neighbourhood group,neighbourhood,lat,long,price,review rate number,number of reviews,occupancy_proxy,estimated_revenue,potential_gain_at_70pct
37633738,Haven in the Heights: stylish home away from home,Brooklyn,Crown Heights,40.67532,-73.94171,1024.0,5.0,80.0,0.32054794520547947,119808.0,141823.99999999997
50469742,PRIVATE ROOM CLOSE TO THE CITY AND JFK  AIRPORT.,Queens,Woodhaven,40.68819,-73.86079,906.0,5.0,22.0,0.27123287671232876,89694.0,141788.99999999997
11907052,PRIVATE ROOM CLOSE TO THE CITY AND JFK  AIRPORT.,Queens,Woodhaven,40.68819,-73.86079,906.0,5.0,22.0,0.27123287671232876,89694.0,141788.99999999997
43478729,PRIVATE ROOM CLOSE TO THE CITY AND JFK  AIRPORT.,Queens,Woodhaven,40.68819,-73.86079,906.0,5.0,22.0,0.27123287671232876,89694.0,141788.99999999997
56139102,PRIVATE ROOM CLOSE TO THE CITY AND JFK  AIRPORT.,Queens,Woodhaven,40.68819,-73.86079,906.0,5.0,22.0,0.27123287671232876,89694.0,141788.99999999997
2029166,No Longer Available Brooklyn Brownstone,Brooklyn,Crown Heights,40.67828,-73.95646,1070.0,5.0,37.0,0.336986301369863,131610.0,141775.0
4318450,Upper East Side Studio,Manhattan,Upper East Side,40.77626,-73.95246,744.0,5.0,7.0,0.1780821917808219,48359.99999999999,141731.99999999997
33879755,Dream Home Center of NEW YORK CITY with 2 Bath,Manhattan,Chelsea,40.74171,-73.99616,634.0,5.0,12.0,0.08767123287671233,20288.0,141698.99999999997
47723155,Your Own Studio in Lower East Side,Manhattan,Chinatown,40.71674,-73.98995,594.0,5.0,1.0,0.04657534246575343,10098.0,141668.99999999997
9160464,Your Own Studio in Lower East Side,Manhattan,Chinatown,40.71674,-73.98995,594.0,5.0,1.0,0.04657534246575343,10098.0,141668.99999999997
31693752,casa gumamela - master guest room w/ private bath,Brooklyn,East New York,40.6602,-73.89424,631.0,5.0,7.0,0.08493150684931507,19561.0,141659.5
36492686,2BR/2Bath: Cleaning CDC guidelines implemented,Brooklyn,Greenpoint,40.72734,-73.94058,628.0,5.0,4.0,0.0821917808219178,18840.0,141614.0
42526012,Cozy Studio in tree-lined Park Slope Brooklyn,Brooklyn,Park Slope,40.67301,-73.97154,679.0,5.0,5.0,0.12876712328767123,31913.0,141571.49999999997
24517165,Cozy Studio in tree-lined Park Slope Brooklyn,Brooklyn,Park Slope,40.67301,-73.97154,679.0,5.0,5.0,0.12876712328767123,31913.0,141571.49999999997
38837752,"LGBTQ+ Super Chill Brooklyn Private Room, JMZ,",Brooklyn,Williamsburg,40.70926,-73.95515,706.0,5.0,9.0,0.1506849315068493,38829.99999999999,141553.0
52150944,"Spacious Room in Prime Prospect Heights, Brooklyn",Brooklyn,Prospect Heights,40.67404,-73.96395,743.0,5.0,16.0,0.1780821917808219,48295.0,141541.5
17393048,"Spacious Room in Prime Prospect Heights, Brooklyn",Brooklyn,Prospect Heights,40.67404,-73.96395,743.0,5.0,16.0,0.1780821917808219,48295.0,141541.5
34453042,Private room A,Queens,Flushing,40.76663,-73.8245,993.0,5.0,24.0,0.3095890410958904,112209.0,141502.49999999997
